temp,demand,split
0.9583,278.7,train
0.7005,348.1,val
0.3719,214.0,train
0.6742,498.2,test
0.4661,391.2,train
0.4431,273.2,test
0.0008,39.8,val
0.9943,139.1,val
0.6884,433.1,train
0.8663,261.5,test
0.4335,258.5,train
0.3484,219.3,train
0.9804,148.2,train
0.2238,209.6,train
0.039,127.2,test
0.7605,308.8,val
0.6204,585.1,val
0.3048,298.8,val
0.0107,9.9,train
0.8136,288.5,train
0.9301,300.7,train
0.0016,-3.5,val
0.163,148.3,train
0.9146,278.1,train
0.7874,273.7,test
0.2632,191.9,train
0.1523,138.6,test
0.3393,278.9,train
0.3437,250.4,test
0.5876,336.6,train
0.3224,239.3,train
0.3293,277.1,train
0.3404,293.1,train
0.8165,280.5,val
0.7008,355.3,train
0.2559,9.0,train
0.9441,181.0,test
0.6369,391.4,test
0.1279,-61.9,test
0.914,245.0,test
0.9499,217.7,train
0.3858,229.9,test
0.2352,124.0,test
0.1748,49.7,train
0.4062,339.3,val
0.2048,183.3,val
0.9297,263.8,test
0.6749,472.0,train
0.615,383.8,test
0.2179,114.5,test
0.3236,164.7,val
0.5677,383.9,val
0.6587,313.1,test
0.6792,465.4,test
0.3026,166.0,train
0.0645,160.4,train
0.5895,461.0,train
0.5203,382.0,train
0.3942,182.3,test
0.6403,401.7,train
0.6258,371.6,val
0.6168,453.6,val
0.2807,211.4,train
0.6943,435.9,val
0.7471,496.4,train
0.5647,307.7,train
0.7076,449.0,train
0.1807,31.9,train
0.2824,204.7,test
0.5144,350.8,test
0.3666,248.1,train
0.2711,246.3,val
0.2786,282.1,train
0.1418,26.3,val
0.2776,189.8,test
0.6345,472.2,train
0.9053,267.2,test
0.0962,93.1,train
0.5391,427.5,train
0.0891,47.3,train
0.0937,7.4,val
0.2217,249.4,train
0.908,157.3,train
0.5581,336.5,val
0.7736,359.6,train
0.0687,96.0,test
0.6698,432.5,val
0.4191,365.8,test
0.9197,196.8,train
0.3637,271.1,test
0.8808,315.5,test
0.0121,114.5,test
0.3739,277.4,train
0.4393,431.8,test
0.0003,203.4,train
0.2429,157.2,val
0.5747,322.4,train
0.1555,99.2,train
0.4459,273.8,val
0.6177,358.0,test
0.9052,212.1,train
0.7526,396.8,val
0.353,307.8,val
0.6874,423.0,test
0.4634,368.8,test
0.2075,115.6,train
0.7844,334.2,train
0.0816,143.7,val
0.9847,185.8,train
0.2323,156.8,train
0.0961,44.2,train
0.6571,408.9,train
0.6457,468.7,train
0.321,271.4,train
0.2778,248.6,train
0.3461,308.2,test
0.6,467.8,train
0.8776,227.6,val
0.9634,170.3,test
0.012,122.7,train
0.1005,183.7,train
0.9918,158.6,test
0.3422,193.6,test
0.5588,444.3,val
0.8607,191.3,val
0.5641,380.7,val
0.903,139.8,train
0.9244,244.1,val
0.3234,273.0,val
0.8824,267.2,train
0.5546,455.8,train
0.765,307.8,test
0.0978,124.5,train
0.2708,110.5,test
0.3673,182.3,val
0.8974,307.8,test
0.6998,456.3,train
0.7563,429.8,train
0.7477,353.2,train
0.826,242.7,val
0.0181,101.7,train
0.0323,85.2,test
0.314,234.0,val
0.1978,114.8,train
0.5536,424.9,val
0.5163,431.4,val
0.1611,8.9,test
0.7767,383.6,test
0.7809,272.7,test
0.8644,227.7,train
0.384,245.4,train
0.7456,468.0,val
0.9228,223.5,train
0.0745,58.6,test
0.1926,99.7,train
0.8361,266.9,train
0.1359,56.5,test
0.6691,462.7,test
0.8762,270.2,val
0.5677,433.1,train
0.3153,179.0,test
0.8472,342.9,val
0.7811,279.8,train
0.6695,449.5,train
0.948,246.7,val
0.7599,270.2,train
0.8872,348.2,val
0.3203,313.7,train
0.3807,299.4,train
0.5886,415.9,test
0.0633,49.3,val
